,Sigma,Skibidi,Gyatt,Alpha,Aura,Rizz,Rizzler,Fanum tax,mew,mewing,looksmaxxing,Mogging,Mog,Baby Gronk,Edging,goofy ahh,nonchalant dreadhead,goated,freakbob,john pork,npc behavior,sussy baka,tiktok rizz party,Jonkler,Skill issue,Chronically online,Ate,Eating,Slay,Pookie,Delulu,Queening,Situationship,Roman Empire,Beige Flag,Serving,Giving,Diva,Brat,Coded,face card,Body tea,flop,era,bedrotting,girl dinner,queen,onika burgers,snatched,yap
Female,3.0208333333333300,2.4680851063829800,3.234042553191490,3.1875,3.9183673469387800,3.9591836734693900,3.4081632653061200,1.9285714285714300,2.877551020408160,2.851063829787230,3.022222222222220,2.511111111111110,2.5,2.0930232558139500,2.3043478260869600,3.0833333333333300,2.9375,4.28,2.5555555555555600,2.0930232558139500,2.14,1.8888888888888900,2.4545454545454500,1.8717948717948700,2.3125,2.5833333333333300,4.458333333333330,4.319148936170210,4.346938775510200,4.040816326530610,2.877551020408160,3.2954545454545500,1.8958333333333300,3.577777777777780,2.8636363636363600,4.413043478260870,4.304347826086960,4.086956521739130,4.0638297872340400,3.4186046511627900,3.9302325581395300,3.697674418604650,2.4,3.7777777777777800,2.5217391304347800,3.1956521739130400,4.340425531914890,2.3902439024390200,3.933333333333330,3.9361702127659600
Male,3.4166666666666700,2.183333333333330,2.9,2.8833333333333300,3.966666666666670,3.933333333333330,3.05,1.9491525423728800,2.9655172413793100,3.0344827586206900,3.0677966101694900,2.8620689655172400,2.8448275862069000,2.280701754385970,2.610169491525420,2.6271186440678000,2.7719298245614000,4.559322033898310,2.672727272727270,2.3392857142857100,2.288135593220340,1.896551724137930,1.9649122807017500,2.1666666666666700,2.7796610169491500,2.6610169491525400,3.8983050847457600,3.5254237288135600,3.9322033898305100,3.9298245614035100,2.6551724137931000,3.210526315789470,2.2280701754386000,3.3684210526315800,2.7142857142857100,3.526315789473680,3.3684210526315800,3.103448275862070,2.9473684210526300,3.272727272727270,3.1785714285714300,2.6153846153846200,2.207547169811320,3.1538461538461500,2.2962962962963000,2.625,3.9285714285714300,2.3,3.1153846153846200,3.5
Non-Binary / Other,2.7,1.7,2.8,2.3,3.5,3.8,2.8,1.8,2.7,2.7,3.4,2.9,2.8,1.8888888888888900,2.6,3.4,2.2222222222222200,4.3,2.2222222222222200,2.111111111111110,3.0,2.2222222222222200,2.7777777777777800,2.4,3.4,2.7,4.6,4.3,4.7,4.2,3.0,3.5,2.5,3.5,3.1,4.7,4.3,4.3,3.6,3.8,3.4,3.2,2.8,4.0,2.9,3.1,4.3,2.888888888888890,4.2,3.5
Overall Human Average,3.2195121951219500,2.319672131147540,3.0327868852459000,2.975609756097560,3.9193548387096800,3.935483870967740,3.185483870967740,1.9913793103448300,2.9262295081967200,2.95,3.092436974789920,2.735042735042740,2.7155172413793100,2.2035398230088500,2.5,2.8852459016393400,2.7966101694915300,4.411290322580650,2.580357142857140,2.2432432432432400,2.338709677419360,1.9572649572649600,2.254385964912280,2.0849056603773600,2.680327868852460,2.639344262295080,4.19672131147541,3.909090909090910,4.178861788617890,3.9583333333333300,2.80327868852459,3.260869565217390,2.175,3.4786324786324800,2.8347826086956500,4.0,3.847457627118640,3.6134453781512600,3.46218487394958,3.3839285714285700,3.495575221238940,3.128440366972480,2.3628318584070800,3.482142857142860,2.4608695652173900,2.888888888888890,4.135593220338980,2.3883495145631100,3.5585585585585600,3.6666666666666700
