category,tag,words
general,gymgirl,"['alpha', 'gyatt']"
general,fitness,"['alpha', 'gyatt', 'mew']"
general,musclemommy,"['alpha', 'gyatt']"
both,foru,"['queen', 'situationship', 'yap', 'alpha', 'mew']"
both,couples,"['beige flag', 'yap', 'alpha', 'rizz']"
general,couplegoals,"['alpha', 'aura']"
general,newchallenge,"['alpha', 'gyatt']"
general,newtrend,"['alpha', 'aura']"
both,prank,"['giving', 'snatched', 'alpha', 'freakbob', 'sigma']"
general,beast,"['alpha', 'sigma']"
general,animeedit,"['alpha', 'goated']"
both,movie,"['onika burgers', 'yap', 'alpha', 'aura', 'rizz']"
general,respect,"['aura', 'sigma']"
both,cute,"['body tea', 'girl dinner', 'giving', 'yap', 'delulu', 'diva', 'aura', 'goofy ahh', 'mew']"
general,troll,"['aura', 'freakbob', 'john pork', 'mewing', 'rizz']"
general,jesuschrist,"['aura', 'goated']"
general,messi,"['aura', 'goated']"
general,streamer,"['aura', 'mew']"
general,soccer,"['aura', 'jonkler']"
general,funnymoments,"['edging', 'goofy ahh']"
general,funnytiktok,"['edging', 'fanum tax', 'goofy ahh']"
general,storytime,"['edging', 'tiktok rizz party']"
general,lovestory,"['edging', 'gyatt']"
general,gyatt,"['edging', 'gyatt', 'skibidi']"
general,is,"['fanum tax', 'freakbob']"
general,twitch,"['fanum tax', 'goated', 'mew', 'rizz']"
general,funnyvideo,"['fanum tax', 'goofy ahh', 'mew']"
both,halloweenlook,"['brat', 'coded', 'queen', 'chronically online', 'delulu', 'fanum tax', 'john pork']"
general,sad,"['freakbob', 'mew']"
both,xybca,"['body tea', 'era', 'giving', 'situationship', 'diva', 'freakbob', 'goated']"
general,trolling,"['freakbob', 'john pork']"
general,public,"['freakbob', 'john pork', 'rizz']"
general,top5,"['freakbob', 'john pork']"
general,list,"['freakbob', 'john pork']"
both,lol,"['face card', 'flop', 'roman empire', 'serving', 'freakbob', 'jonkler', 'mew', 'skibidi']"
general,cartoon,"['freakbob', 'skibidi']"
general,ogfortnite,"['goated', 'mew']"
general,jistro4edit,"['goated', 'mew', 'mewing', 'mog']"
general,fyyyyyyyyyyyyyyyy,"['goated', 'goofy ahh']"
general,skibiditoilet,"['goated', 'jonkler', 'sigma', 'skibidi']"
general,cr7,"['goated', 'sigma']"
general,footballedit,"['goated', 'sigma']"
general,gyat,"['goated', 'gyatt', 'skibidi']"
both,algorithm,"['flop', 'diva', 'goofy ahh', 'gyatt']"
general,shitposting,"['goofy ahh', 'mew', 'mewing', 'tiktok rizz party']"
general,catsoftiktok,"['goofy ahh', 'mew', 'rizz']"
general,cats,"['goofy ahh', 'mew']"
general,girl,"['gyatt', 'rizz', 'sigma']"
both,girls,"['girl dinner', 'snatched', 'gyatt', 'rizz']"
both,latina,"['beige flag', 'body tea', 'gyatt', 'rizz']"
general,halloweencostume,"['gyatt', 'john pork']"
general,fortheboys,"['gyatt', 'mewing']"
general,stitch,"['gyatt', 'mewing']"
general,duet,"['gyatt', 'mewing']"
