link,text,views,date
https://www.tiktok.com/@fashionbyanita/video/7360020131923168555,Replying to @Sharon the way I be on that #zoom 🏋🏾‍♀️ #fitnessmotivation #duespaid  created by Anita with 𝐶𝐴𝑆𝐻 ﾒ𝟶’s 888,11.3K,4-20
https://www.tiktok.com/@thatfamiliafamily/video/7372737882861194513,@theyknotre  #couplestiktok #fyp  created by ThatFamiliaFamily with CasaDi’s original sound,1.5M,5-24
https://www.tiktok.com/@kccarde/video/7413160460112891178, created by kccarde with kccarde’s original sound,537.2K,9-10
https://www.tiktok.com/@saram11aaa/video/7339038951358893355,Body teaaa!!#latina  created by mimi with Flo Milli’s Never Lose Me,5311,2-24
https://www.tiktok.com/@0nnesity/video/7317507255744646443,#0nnesity #fypシ゚viral #bodytea #heyyfamous🖤 #dance #😍  created by BIG O💸 with Sorry6ixx’s original sound,13.9K,2023-12-28
https://www.tiktok.com/@theemyamichelle/video/7361209483705486635,Lmao tupac just staring inna back #fyp #relatable #viral  created by mixhelle ✰ with Hot 97 summer jam SUNDAY’s Nicki m rant,115.1K,4-23
https://www.tiktok.com/@kyliekkj/video/7360051246952172806,the body tea #kyliejenner #kyliekkj #edit #fy #fyp #vsp #viral  created by clara with clara’s original sound,38.1K,4-20
https://www.tiktok.com/@thatonegirlmiyaa_/video/7285315116365778222,Body tea 😜😜#fyp #xybca #ate #fypシ #foryoupage #fypシ゚viral #viralvideo #liltay  created by thatonegirlmiyaa_ with thatonegirlmiyaa_’s original sound,64.9K,2023-10-2
https://www.tiktok.com/@thabadddest.k/video/7414886952844987690,Body tea 🥹 #sundayfunday #fyp #yxzcba #houston  created by Kmani with Vybz Kartel’s Beg You - A Fuck -Remastered,19.6K,9-15
https://www.tiktok.com/@fi.fi792/video/7430053504024186154,body so tea the british are coming is my favorite saying  created by Fi Fi with DJ CR4IG’s Miss The Rage x Everybody Talks,330.9K,5d ago
