link,text,views,date
https://www.tiktok.com/@but.its.goldenn/video/7263949517345639723,🐍The beginning of the #Reputation era is out of body. We were not ready for it 😅 #swifttok #taylorswift #taylornation #latserastour #theerastour #latstheerastour #sofistadium #taylorsversion #reputationtaylorsversion #readyforit @Taylor Swift @Taylor Nation  created by its.golden✨💜 with its.golden✨💜’s original sound,337.9K,2023-8-5
https://www.tiktok.com/@blackwidof/video/7223036442602245381,Villain era 🖤 created by blackwidof with ☆’s Too many nights by metro boom in,1.7M,2023-4-17
https://www.tiktok.com/@brattics/video/7151526378637380910,I love this era of females #greenscreen #nostalgia #2015 #2016 #nostalgic #takemeback #blowthisup #fyp #2017 #fypシ゚viral #pintrest #snapchat #OverwatchMe #2010s #era  created by 🎀. with audios4thedonn’s leave you alone,109.8K,2022-10-6
https://www.tiktok.com/@visual.destination/video/7212074129644621098,@justsandymarie is live-streaming the era’s tour if anyone wants to watch it! #taylorswift #erastour #liveconcert #livestream #concert created by Visual Destination with Visual Destination’s original sound,8.2M,2023-3-18
https://www.tiktok.com/@phoebe.febe/video/7402342469544856838,🍂🏺ERA es tan mágico  #espiritual #lentejas #foryoupage #nuevamusica #ancestral #gregorianos #músicaexperimental #newage #mágico #ERA #fyp  created by febe_phoe with ERA’s Infanati - Album Version,170.6K,8-12
https://www.tiktok.com/@soundsofswift/video/7427291602462231840,Taylor Swift the eras tour Miami n1  #taylorswift #theerastourmiami #theerastourmiamin1 #reptv #taylorswiftsurprisesongs #surpisesongs #swifties #tswift #taylorswift #taylor #swiftie #miami  created by soundsofswift with soundsofswift’s original sound,479.5K,10-18
https://www.tiktok.com/@bru_s0ares/video/7430626779129236769,Lover Era 🩷💜  #taylorswift #fyp #erastour #swiftie #swifttok #theerastour #taylornation #foryoupage❤️❤️ @Taylor Swift @Taylor Nation  created by Bruna Soares with Bruna Soares’s som original,4016,3d ago
https://www.tiktok.com/@championsleague/video/7411121870415695136,End of a beautiful era ❤️ #UCL #Messi #Ronaldo created by Champions League with Gibran Alcocer’s Solas,14.7M,9-5
https://www.tiktok.com/@nataliezacek/video/7427603035708230958,I am SO SO SO excited😭 which is ur fav era?? created by nataliezacek with Taylor Swift’s Lover,118.6K,10-19
https://www.tiktok.com/@marryourcrazy/video/7359938770977705259,#fyp #boujiemarr #era  created by M4♣️ with cait’s your gf wants to be mine,3.3M,4-20
